frame,x,y,w,h,conf
586,454.00,216.00,31.00,31.00,0.71
587,424.00,218.00,32.00,39.00,0.83
588,392.00,216.00,31.00,37.00,0.86
589,357.00,216.00,31.00,35.00,0.75
590,320.00,215.00,31.00,35.00,0.82
591,282.00,218.00,30.00,39.00,0.88
592,241.00,217.00,31.00,37.00,0.85
593,192.00,221.00,32.00,40.00,0.87
594,143.00,223.00,32.00,39.00,0.85
595,109.00,224.00,33.00,40.00,0.87
596,63.00,225.00,35.00,42.00,0.83
597,24.00,228.00,36.00,43.00,0.83
598,8.00,228.00,17.00,35.00,0.76
599,5.00,222.00,10.00,33.00,0.68
602,9.00,230.00,19.00,29.00,0.68
603,32.00,228.00,35.00,42.00,0.86
604,69.00,228.00,34.00,41.00,0.84
605,121.00,225.00,31.00,39.00,0.88
606,172.00,226.00,31.00,38.00,0.86
607,222.00,224.00,31.00,39.00,0.82
608,273.00,225.00,31.00,39.00,0.83
609,334.00,224.00,27.00,34.00,0.79
610,376.00,224.00,21.00,32.00,0.77
611,424.00,225.00,29.00,37.00,0.82
612,476.00,225.00,20.00,30.00,0.79
613,501.00,227.00,22.00,32.00,0.82
614,507.00,224.00,19.00,27.00,0.73
617,525.00,224.00,19.00,29.00,0.74
618,499.00,224.00,23.00,33.00,0.82
619,476.00,225.00,22.00,33.00,0.80
620,436.00,227.00,29.00,38.00,0.77
621,402.00,224.00,26.00,35.00,0.80
622,370.00,226.00,30.00,38.00,0.82
623,337.00,224.00,30.00,37.00,0.79
624,293.00,223.00,30.00,39.00,0.85
625,255.00,224.00,30.00,37.00,0.81
626,207.00,221.00,32.00,40.00,0.87
627,158.00,219.00,33.00,41.00,0.89
628,113.00,218.00,35.00,39.00,0.78
629,75.00,220.00,35.00,44.00,0.87
630,48.00,221.00,37.00,44.00,0.85
631,41.00,220.00,36.00,45.00,0.80
632,43.00,220.00,36.00,45.00,0.87
633,59.00,218.00,35.00,42.00,0.87
634,85.00,216.00,35.00,41.00,0.82
635,121.00,218.00,34.00,40.00,0.81
636,164.00,220.00,34.00,42.00,0.83
637,224.00,219.00,32.00,39.00,0.87
638,278.00,224.00,31.00,40.00,0.85
639,336.00,224.00,26.00,34.00,0.81
640,392.00,224.00,22.00,32.00,0.72
641,424.00,222.00,32.00,39.00,0.74
642,467.00,222.00,30.00,38.00,0.70
643,506.00,220.00,22.00,31.00,0.71
644,504.00,219.00,21.00,29.00,0.77
645,517.00,224.00,28.00,40.00,0.72
646,505.00,223.00,23.00,34.00,0.79
647,476.00,222.00,29.00,35.00,0.77
648,440.00,224.00,30.00,38.00,0.78
649,406.00,219.00,29.00,37.00,0.79
650,333.00,217.00,32.00,39.00,0.78
651,289.00,216.00,32.00,37.00,0.83
652,254.00,217.00,31.00,36.00,0.82
653,191.00,220.00,32.00,40.00,0.88
654,140.00,220.00,33.00,42.00,0.88
655,97.00,220.00,36.00,43.00,0.87
656,68.00,221.00,36.00,45.00,0.84
657,40.00,222.00,37.00,47.00,0.82
658,27.00,221.00,36.00,45.00,0.82
659,21.00,221.00,34.00,43.00,0.74
660,24.00,219.00,33.00,40.00,0.81
661,37.00,218.00,36.00,43.00,0.82
662,58.00,218.00,36.00,43.00,0.82
663,78.00,221.00,34.00,42.00,0.89
664,113.00,221.00,36.00,44.00,0.87
665,151.00,223.00,33.00,41.00,0.77
666,204.00,224.00,30.00,38.00,0.88
667,250.00,224.00,30.00,38.00,0.87
668,287.00,221.00,31.00,39.00,0.85
669,334.00,219.00,29.00,34.00,0.79
670,367.00,223.00,31.00,39.00,0.79
672,451.00,218.00,20.00,28.00,0.79
673,464.00,218.00,27.00,35.00,0.80
674,476.00,220.00,31.00,38.00,0.79
675,491.00,219.00,24.00,34.00,0.74
676,475.00,219.00,36.00,43.00,0.79
677,456.00,221.00,33.00,38.00,0.71
678,431.00,220.00,35.00,44.00,0.83
679,384.00,215.00,32.00,37.00,0.79
680,335.00,215.00,31.00,33.00,0.75
681,290.00,216.00,32.00,36.00,0.78
682,214.00,218.00,31.00,38.00,0.70
683,159.00,217.00,32.00,37.00,0.80
695,47.00,221.00,36.00,43.00,0.84
696,95.00,220.00,34.00,41.00,0.86
697,159.00,219.00,33.00,39.00,0.86
698,211.00,220.00,33.00,40.00,0.79
699,288.00,222.00,31.00,39.00,0.84
700,351.00,222.00,30.00,36.00,0.77
701,410.00,220.00,31.00,38.00,0.75
703,520.00,219.00,26.00,35.00,0.67
706,520.00,220.00,27.00,36.00,0.74
707,490.00,221.00,27.00,37.00,0.78
708,457.00,219.00,33.00,34.00,0.66
710,360.00,221.00,28.00,37.00,0.79
711,289.00,220.00,33.00,41.00,0.81
712,241.00,219.00,33.00,39.00,0.70
713,167.00,221.00,35.00,43.00,0.71
714,119.00,222.00,34.00,44.00,0.81
715,63.00,218.00,34.00,40.00,0.82
716,20.00,216.00,35.00,40.00,0.77
729,76.00,210.00,30.00,32.00,0.85
730,120.00,213.00,33.00,36.00,0.74
731,177.00,215.00,34.00,37.00,0.77
732,233.00,217.00,32.00,37.00,0.73
733,278.00,219.00,33.00,41.00,0.76
734,334.00,221.00,31.00,38.00,0.77
735,390.00,221.00,29.00,38.00,0.76
736,441.00,219.00,33.00,39.00,0.74
737,491.00,216.00,32.00,32.00,0.72
739,538.00,221.00,30.00,38.00,0.68
741,514.00,226.00,31.00,40.00,0.75
742,482.00,225.00,34.00,43.00,0.81
743,443.00,223.00,30.00,34.00,0.67
744,396.00,219.00,27.00,31.00,0.74
745,334.00,217.00,28.00,31.00,0.75
746,263.00,220.00,33.00,40.00,0.70
747,206.00,218.00,32.00,39.00,0.82
748,146.00,217.00,34.00,38.00,0.80
749,94.00,214.00,26.00,28.00,0.67
760,19.00,223.00,28.00,37.00,0.73
761,53.00,222.00,33.00,42.00,0.82
762,104.00,224.00,33.00,42.00,0.84
763,149.00,225.00,33.00,41.00,0.81
764,206.00,226.00,31.00,37.00,0.83
765,265.00,229.00,32.00,40.00,0.82
766,327.00,229.00,28.00,37.00,0.78
767,375.00,230.00,23.00,35.00,0.68
768,419.00,229.00,25.00,34.00,0.72
769,474.00,229.00,28.00,36.00,0.75
773,521.00,228.00,21.00,30.00,0.71
774,495.00,228.00,28.00,37.00,0.81
777,401.00,223.00,24.00,33.00,0.78
778,362.00,223.00,22.00,32.00,0.76
780,245.00,222.00,31.00,40.00,0.84
781,174.00,222.00,32.00,39.00,0.86
782,124.00,223.00,31.00,39.00,0.87
783,52.00,223.00,36.00,44.00,0.78
784,5.00,219.00,10.00,28.00,0.66
794,36.00,227.00,35.00,40.00,0.83
795,106.00,229.00,36.00,43.00,0.86
796,192.00,228.00,32.00,38.00,0.79
800,466.00,230.00,27.00,36.00,0.75
805,507.00,225.00,20.00,30.00,0.80
806,479.00,223.00,25.00,33.00,0.79
807,449.00,222.00,21.00,30.00,0.77
808,408.00,227.00,29.00,37.00,0.83
809,370.00,225.00,25.00,33.00,0.79
810,314.00,225.00,31.00,39.00,0.84
811,258.00,224.00,33.00,42.00,0.84
812,211.00,224.00,32.00,43.00,0.86
813,162.00,225.00,33.00,42.00,0.86
814,115.00,222.00,35.00,43.00,0.84
815,70.00,223.00,35.00,44.00,0.84
816,28.00,223.00,33.00,42.00,0.87
817,7.00,224.00,15.00,36.00,0.79
821,5.00,223.00,11.00,34.00,0.76
822,18.00,228.00,33.00,41.00,0.74
823,67.00,224.00,37.00,44.00,0.86
824,125.00,225.00,32.00,38.00,0.86
825,180.00,225.00,32.00,42.00,0.86
826,239.00,222.00,28.00,35.00,0.79
827,308.00,226.00,32.00,39.00,0.73
828,365.00,227.00,26.00,33.00,0.75
829,418.00,226.00,22.00,31.00,0.78
830,475.00,226.00,19.00,29.00,0.80
831,520.00,228.00,23.00,35.00,0.73
835,505.00,230.00,24.00,35.00,0.79
836,482.00,230.00,25.00,36.00,0.82
837,449.00,230.00,29.00,39.00,0.80
838,411.00,231.00,31.00,38.00,0.80
839,374.00,230.00,28.00,38.00,0.78
840,338.00,230.00,31.00,40.00,0.81
841,282.00,228.00,33.00,41.00,0.87
842,237.00,229.00,30.00,37.00,0.78
843,191.00,229.00,31.00,36.00,0.79
844,145.00,230.00,35.00,41.00,0.84
845,90.00,230.00,35.00,42.00,0.87
846,41.00,230.00,34.00,42.00,0.87
847,12.00,231.00,22.00,33.00,0.72
851,5.00,228.00,11.00,32.00,0.68
853,66.00,234.00,37.00,42.00,0.78
854,104.00,234.00,38.00,42.00,0.73
857,267.00,232.00,30.00,36.00,0.83
858,316.00,230.00,30.00,38.00,0.81
859,363.00,230.00,28.00,37.00,0.73
860,394.00,231.00,29.00,35.00,0.68
862,473.00,235.00,22.00,32.00,0.71
867,499.00,235.00,22.00,32.00,0.72
869,458.00,234.00,22.00,32.00,0.65
871,397.00,232.00,29.00,36.00,0.73
872,357.00,233.00,28.00,36.00,0.75
874,292.00,234.00,26.00,31.00,0.66
875,269.00,233.00,29.00,37.00,0.77
877,244.00,234.00,30.00,38.00,0.82
878,246.00,233.00,32.00,40.00,0.82
879,260.00,236.00,27.00,33.00,0.67
880,275.00,234.00,29.00,37.00,0.77
